10000 19993
1 2 6303
1 4 1316
2 3 5548
2 5 2511
3 4 9018
3 6 3197
4 5 9536
4 7 435
5 6 7068
5 8 2360
6 7 353
6 9 572
7 8 8357
7 10 9346
8 9 8269
8 11 5733
9 10 3249
9 12 8193
10 11 180
10 13 5304
11 12 7864
11 14 563
12 13 371
12 15 7964
13 14 8320
13 16 5255
14 15 4403
14 17 5711
15 16 6147
15 18 561
16 17 6729
16 19 4200
17 18 9878
17 20 8284
18 19 2253
18 21 2059
19 20 2882
19 22 4829
20 21 2585
20 23 3080
21 22 1786
21 24 6899
22 23 2799
22 25 6046
23 24 9799
23 26 8293
24 25 1058
24 27 7049
25 26 7296
25 28 6339
26 27 8050
26 29 7164
27 28 6090
27 30 2435
28 29 9166
28 31 8719
29 30 1770
29 32 3930
30 31 7400
30 33 9285
31 32 6603
31 34 8685
32 33 7119
32 35 3726
33 34 9096
33 36 3148
34 35 6373
34 37 1103
35 36 2745
35 38 9166
36 37 821
36 39 90
37 38 597
37 40 7060
38 39 1950
38 41 8937
39 40 3743
39 42 142
40 41 5236
40 43 3244
41 42 6125
41 44 710
42 43 1376
42 45 7921
43 44 5071
43 46 1082
44 45 3541
44 47 7012
45 46 992
45 48 6607
46 47 1977
46 49 930
47 48 4527
47 50 6208
48 49 2062
48 51 721
49 50 4788
49 52 3445
50 51 5525
50 53 7102
51 52 8884
51 54 906
52 53 480
52 55 6787
53 54 938
53 56 2451
54 55 3619
54 57 6954
55 56 7723
55 58 9247
56 57 5475
56 59 7506
57 58 6095
57 60 2863
58 59 8227
58 61 2082
59 60 5562
59 62 8130
60 61 99
60 63 2495
61 62 2428
61 64 4462
62 63 5056
62 65 855
63 64 2102
63 66 1062
64 65 7525
64 67 1332
65 66 7328
65 68 9616
66 67 7328
66 69 7229
67 68 8904
67 70 7732
68 69 3636
68 71 3035
69 70 4278
69 72 236
70 71 9204
70 73 3866
71 72 8809
71 74 1608
72 73 9498
72 75 1923
73 74 5064
73 76 9077
74 75 1282
74 77 976
75 76 9453
75 78 8607
76 77 2399
76 79 7207
77 78 3515
77 80 8013
78 79 5912
78 81 5747
79 80 5502
79 82 464
80 81 2793
80 83 4079
81 82 3050
81 84 2299
82 83 1380
82 85 424
83 84 4528
83 86 5831
84 85 7587
84 87 2569
85 86 670
85 88 4853
86 87 8071
86 89 8201
87 88 6259
87 90 3221
88 89 3502
88 91 5729
89 90 9988
89 92 5091
90 91 1626
90 93 3658
91 92 9139
91 94 6520
92 93 8021
92 95 1926
93 94 3302
93 96 2020
94 95 9728
94 97 6766
95 96 9778
95 98 7000
96 97 4950
96 99 2984
97 98 2766
97 100 9533
98 99 5220
98 101 4180
99 100 1177
99 102 729
100 101 373
100 103 2275
101 102 644
101 104 7822
102 103 2226
